AFRI, Africana Studies (AFRI)
SIGN, American Sign Language (SIGN)
AMST, American Studies (AMST)
ANTH, Anthropology (ANTH)
APMA, Applied Mathematics (APMA)
ARAB, Arabic (ARAB)
ARCH, Archaeology and Ancient World (ARCH)
ASYR, Assyriology (ASYR)
BHBR, Biblical Hebrew (BHBR)
BIOL, Biology (BIOL)
PHP, BioMed-Community Health (PHP)
NEUR, BioMed-Neuroscience (NEUR)
ARTS, Brown Arts Initiative (ARTS)
BEO, Business, Entrep. and Organ. (BEO)
CATL, Catalan (CATL)
CHEM, Chemistry (CHEM)
CHIN, Chinese (CHIN)
CLAS, Classics (CLAS)
CLPS, Cog, Ling, Psych Sciences (CLPS)
COLT, Comparative Literature (COLT)
CSCI, Computer Science (CSCI)
COST, Contemplative Studies (COST)
CZCH, Czech (CZCH)
DATA, Data Science (DATA)
DEVL, Development Studies (DEVL)
ERLY, Early Cultures (ERLY)
EMOW, Early Modern World (EMOW)
EEPS, Earth, Environ. & Planetary Sc (EEPS)
EAST, East Asian Studies (EAST)
ECON, Economics (ECON)
EDUC, Education (EDUC)
EGYT, Egyptology (EGYT)
ENGN, Engineering (ENGN)
ENGL, English (ENGL)
EINT, English for Internationals (EINT)
ENVS, Environmental Studies (ENVS)
ETHN, Ethnic Studies (ETHN)
FREN, French Studies (FREN)
GNSS, Gender and Sexuality Studies (GNSS)
GEOL, Geological Sciences (GEOL)
GRMN, German Studies (GRMN)
GLSP, Global Independent Study Proj (GLSP)
GREK, Greek (GREK)
GISP, Group Studies (GISP)
HCL, Healthcare Leadership (HCL)
HEBR, Hebrew (HEBR)
HNDI, Hindi-Urdu (HNDI)
HISP, Hispanic Studies (HISP)
HIST, History (HIST)
HIAA, History of Art and Architecture (HIAA)
HMAN, Humanities (HMAN)
INDP, Independent Studies (INDP)
IAPA, International and Public Affai (IAPA)
INTL, International and Public Affairs (INTL)
INTR, Internship (INTR)
ITAL, Italian Studies (ITAL)
JAPN, Japanese (JAPN)
JUDS, Judaic Studies (JUDS)
KREA, Korean (KREA)
LANG, Language Studies (LANG)
LATN, Latin (LATN)
LACA, Latin American & Caribbean Stu (LACA)
LING, Linguistics (LING)
LITR, Literary Arts (LITR)
MATH, Mathematics (MATH)
MED, Medical Education (MED)
MDVL, Medieval Studies (MDVL)
MES, Middle East Studies (MES)
MCM, Modern Culture and Media (MCM)
MGRK, Modern Greek (MGRK)
MUSC, Music (MUSC)
NAHU, Nahuatl (NAHU)
PRSN, Persian (PRSN)
PHIL, Philosophy (PHIL)
PHYS, Physics (PHYS)
PLSH, Polish (PLSH)
POLS, Political Science (POLS)
POBS, Portuguese and Brazilian Studies (POBS)
PLME, Program in Liberal Medical Education (PLME)
MPA, Public Affairs (MPA)
PHUM, Public Humanities (PHUM)
PLCY, Public Policy (PLCY)
RELS, Religious Studies (RELS)
REMS, Renaissance and Early Modern Studies (REMS)
RUSS, Russian (RUSS)
SANS, Sanskrit (SANS)
SCSO, Science and Society (SCSO)
STS, Science, Technology & Society (STS)
SLAV, Slavic (SLAV)
SOC, Sociology (SOC)
SAST, South Asian Studies (SAST)
SWED, Swedish (SWED)
TAPS, Theatre Arts and Performance Studies (TAPS)
TKSH, Turkish (TKSH)
UNIV, University Courses (UNIV)
URBN, Urban Studies (URBN)
VISA, Visual Art (VISA)
YORU, Yoruba (YORU)
